tumor_pixels,all_pixels
131,255
105,255
0,255
85,225
0,255
59,255
140,249
140,189
0,176
105,222
0,124
97,255
0,215
101,255
86,210
0,255
0,214
167,152
139,255
111,211
22,0
108,188
0,255
0,173
0,255
169,255
0,255
0,223
0,150
79,159
0,255
0,255
0,255
0,174
65,255
0,255
0,151
46,255
16,213
0,255
0,255
153,211
0,255
0,255
0,255
0,195
34,255
0,220
0,255
0,255
0,134
0,255
119,255
0,255
0,137
0,0
159,190
38,255
33,247
11,255
8,255
84,255
0,185
170,201
129,188
0,255
0,254
0,158
189,197
186,255
0,207
70,181
43,255
0,194
0,167
147,216
0,255
6,255
33,255
0,218
112,201
195,255
0,255
13,255
0,255
0,255
0,228
0,255
88,236
123,255
147,159
0,192
0,255
0,255
168,255
0,255
69,206
0,255
167,255
5,211
0,204
29,255
0,255
127,255
0,255
0,225
0,182
0,208
191,255
0,255
0,255
162,255
45,255
59,255
0,228
140,255
0,176
0,169
0,227
76,224
0,255
114,255
0,0
0,255
0,77
0,255
0,195
0,255
0,255
151,255
0,221
4,255
81,255
66,255
0,255
50,231
0,190
5,255
32,183
54,81
93,255
0,255
0,255
2,255
0,141
0,152
178,129
0,238
0,142
127,255
0,56
150,255
0,213
0,228
28,226
0,255
0,224
96,195
0,157
0,255
0,255
0,255
71,216
47,255
5,228
0,255
176,255
73,198
0,255
128,255
0,211
151,255
86,226
73,119
131,255
0,255
0,255
54,255
0,239
0,104
0,253
0,183
0,254
0,187
0,255
9,255
134,255
134,216
97,255
118,73
0,255
0,149
0,255
144,203
0,255
143,208
0,255
120,255
0,255
127,255
65,255
43,213
0,154
160,168
0,233
0,255
59,201
0,0
135,255
160,255
0,255
0,255
0,255
15,192
0,255
85,200
97,255
0,255
175,255
0,255
0,255
0,255
0,255
0,255
0,87
0,0
56,235
0,255
0,144
40,255
0,177
141,255
84,255
0,214
57,255
0,255
0,255
57,255
88,255
0,181
0,255
84,255
0,217
38,143
0,255
0,255
46,202
40,203
173,234
121,194
0,255
48,0
61,218
103,255
0,226
0,179
172,188
141,255
0,255
95,161
68,255
78,140
0,255
48,157
144,191
0,255
163,255
149,172
178,255
0,211
0,255
0,255
131,255
152,255
163,255
0,190
0,255
93,215
0,189
48,255
0,223
174,255
0,211
0,241
121,227
57,255
107,205
165,228
0,255
0,255
0,177
100,255
128,255
0,177
121,255
170,81
0,255
0,255
22,227
92,255
0,255
88,255
119,203
68,255
95,206
105,204
153,255
0,217
0,179
221,255
0,200
38,255
1,255
0,179
0,255
0,255
0,255
0,255
104,255
24,179
137,204
0,117
131,255
0,255
0,255
41,0
0,255
1,140
128,184
157,255
139,255
29,255
65,255
130,255
71,255
0,255
0,255
163,142
68,211
17,255
0,209
105,255
0,162
0,0
0,97
0,231
48,177
75,255
47,255
0,255
0,255
0,255
0,27
0,224
116,255
110,208
0,119
172,213
0,255
107,215
0,207
0,255
0,255
66,220
0,255
36,255
151,255
0,238
169,255
33,208
95,255
13,255
32,255
130,202
134,217
6,105
0,255
166,255
8,170
0,129
0,255
0,255
101,255
198,255
140,255
133,255
105,244
173,255
0,255
89,255
124,64
131,166
123,221
0,193
0,255
0,228
186,255
165,156
57,152
0,255
0,231
0,255
0,160
200,214
161,216
0,189
97,153
0,255
38,255
0,255
97,205
0,91
161,188
0,232
175,255
103,255
154,255
103,255
39,120
120,255
0,255
156,255
0,193
153,160
93,255
0,255
7,255
121,174
0,255
145,254
77,255
0,192
105,197
0,211
89,208
0,255
0,255
63,0
0,147
95,255
0,255
0,217
0,251
15,105
179,255
54,255
0,189
68,255
0,255
77,255
0,176
8,223
40,255
0,255
0,255
162,255
0,130
165,255
0,255
0,168
0,255
93,199
128,255
178,247
22,255
0,255
96,255
0,0
0,255
145,255
0,255
0,241
0,126
0,255
0,255
0,255
85,255
0,119
0,255
118,119
0,255
16,216
32,113
30,255
0,255
0,255
0,255
0,255
131,255
0,255
23,255
59,0
0,202
133,176
0,255
0,255
64,228
0,178
156,255
0,159
89,255
170,213
0,144
105,171
0,255
0,255
185,255
0,168
105,158
57,208
126,255
0,255
0,255
0,255
52,118
141,255
0,255
0,255
179,248
0,255
0,255
0,255
0,255
0,197
123,255
94,255
139,255
170,181
85,211
0,232
0,255
120,255
119,216
30,232
0,255
0,220
8,221
63,255
0,255
0,255
170,176
125,255
100,255
0,255
0,254
0,255
123,255
139,220
113,229
188,255
0,175
27,253
0,197
56,255
131,255
0,255
0,255
0,255
0,255
0,206
72,255
0,172
0,255
0,254
0,0
0,255
128,255
166,0
0,226
41,211
0,182
94,255
43,0
113,206
0,169
8,251
0,231
9,255
0,168
159,233
0,166
86,255
118,255
0,227
173,188
125,255
0,249
28,254
0,255
142,255
0,255
1,227
0,255
100,195
0,255
0,187
169,255
0,255
173,255
0,207
112,211
0,255
89,149
101,222
0,195
93,209
20,254
86,255
0,202
117,243
0,141
124,255
37,255
0,219
96,255
165,255
114,255
133,242
92,142
211,228
0,254
0,255
0,255
144,255
41,110
13,130
0,255
0,255
113,255
0,255
0,192
32,207
96,255
0,183
0,202
200,255
0,0
0,255
167,255
0,255
100,255
0,255
0,234
163,243
129,255
14,223
0,233
199,138
0,5
126,255
0,255
0,140
0,255
70,255
0,255
0,255
0,255
146,211
97,209
62,255
160,163
0,213
0,255
0,224
32,142
80,255
0,255
53,181
0,255
79,255
0,174
0,200
70,255
173,255
18,207
0,240
0,255
0,68
59,231
110,255
102,207
70,254
112,229
31,255
0,255
17,0
0,255
0,243
157,227
0,255
0,131
18,255
147,255
159,255
0,0
142,255
76,255
0,255
128,179
114,231
96,255
142,255
0,255
0,255
0,255
155,255
2,197
147,255
157,233
121,255
121,255
0,163
109,205
0,255
88,254
0,255
0,255
153,177
153,255
0,117
120,0
113,255
66,255
0,255
105,59
57,255
0,230
105,217
0,255
0,226
0,255
145,255
0,255
97,245
80,255
0,255
192,255
0,255
162,0
0,255
0,255
0,215
0,255
131,116
163,145
0,125
0,208
147,0
156,255
0,146
0,255
40,191
30,230
0,255
154,255
0,255
0,255
103,249
158,255
17,232
0,255
0,255
162,207
0,168
102,255
0,255
65,255
66,255
72,255
97,255
0,135
69,221
0,217
0,174
23,140
0,255
17,255
0,255
39,86
162,193
0,255
45,110
8,193
77,192
65,211
0,206
61,223
0,222
0,6
25,239
53,255
0,255
0,255
81,255
131,199
0,255
145,255
0,202
0,255
0,228
13,255
135,255
92,190
138,255
0,255
32,187
0,192
130,255
7,255
0,255
0,169
0,255
167,255
0,255
20,206
73,150
0,188
0,255
103,198
69,255
0,240
0,255
86,255
0,177
0,255
0,255
173,255
0,225
109,80
60,255
86,183
176,255
143,255
63,255
0,255
0,255
92,255
0,214
191,241
158,255
0,236
0,255
0,255
0,255
89,255
146,209
54,255
0,127
0,209
0,187
64,235
155,234
0,255
101,150
117,113
7,160
0,216
160,204
0,223
108,220
0,255
0,255
0,137
186,228
103,39
0,184
32,255
0,255
85,223
0,255
0,255
178,139
0,197
59,255
52,186
34,255
0,255
112,255
116,255
114,255
140,255
0,223
70,254
118,161
183,214
96,217
0,255
76,255
0,206
0,255
0,191
50,255
101,208
0,151
0,211
168,197
160,183
0,130
102,255
88,255
70,170
0,255
194,255
0,255
0,255
30,255
5,255
4,113
0,95
0,214
0,0
93,255
0,131
121,255
0,216
0,255
0,255
0,147
0,218
0,255
159,255
89,242
144,213
0,211
68,255
0,255
95,206
153,255
0,158
0,198
0,255
127,224
137,245
146,208
166,255
81,255
0,228
0,177
0,255
121,255
0,255
0,238
65,163
0,210
128,255
149,0
154,255
177,242
166,216
0,159
0,197
0,255
0,255
150,179
125,255
103,165
138,255
0,255
0,199
0,182
1,255
0,255
0,255
0,255
0,255
111,255
0,135
0,254
97,255
102,255
93,255
0,255
0,204
84,191
184,255
103,255
107,235
0,214
66,255
155,255
31,255
0,255
0,190
0,255
0,208
73,0
0,255
0,195
82,255
2,201
0,0
192,255
0,254
0,97
0,178
0,198
97,255
24,255
113,127
0,197
78,255
0,137
0,169
0,201
0,204
0,168
147,188
0,255
0,255
149,255
105,187
23,253
0,255
144,255
146,255
118,255
144,255
0,255
166,255
0,173
0,114
88,255
139,255
0,255
108,213
5,160
0,255
91,255
0,255
0,255
93,255
0,0
13,255
0,255
39,168
0,255
71,254
0,255
0,255
0,255
37,255
112,255
30,133
0,255
0,167
44,182
15,255
0,0
187,0
20,255
0,255
0,253
49,219
195,195
0,255
48,225
0,255
167,255
44,255
16,158
82,255
0,255
0,255
41,218
116,255
119,60
0,255
81,255
0,224
138,255
104,255
0,184
130,255
108,255
0,190
0,134
0,255
110,255
0,216
0,154
0,221
65,211
0,190
0,218
0,207
0,165
120,255
112,255
0,255
0,255
0,214
0,255
0,255
0,255
0,143
121,255
0,247
0,214
32,255
24,255
0,255
31,255
159,255
0,147
73,224
0,255
123,238
0,182
166,211
0,255
0,255
0,255
0,236
75,255
0,203
0,192
100,255
56,0
92,255
199,199
39,255
0,173
0,210
0,255
186,255
0,255
53,134
198,253
0,255
0,255
0,218
34,255
97,156
0,202
86,255
163,210
0,95
0,255
0,255
0,0
0,255
41,129
105,255
50,254
0,254
0,255
65,211
119,255
121,179
37,255
0,226
110,189
95,206
175,255
94,255
0,255
0,217
130,255
0,224
179,255
2,255
0,255
0,176
104,247
104,255
135,112
121,255
118,255
0,255
46,255
0,255
82,255
0,255
0,0
159,255
0,188
0,255
44,255
85,214
0,255
96,94
0,255
0,255
147,213
139,255
0,255
0,232
0,109
0,202
105,202
0,225
0,197
177,255
0,255
0,205
133,121
0,255
70,255
82,255
0,255
39,255
0,210
141,255
127,255
163,255
0,255
0,202
20,255
0,255
0,255
23,255
0,210
97,204
119,171
0,181
6,207
0,183
126,255
0,255
0,214
95,133
0,255
0,223
95,255
150,227
24,255
0,238
0,255
158,255
20,254
101,217
153,255
0,202
0,166
0,211
0,119
0,126
24,199
0,255
0,219
0,255
40,248
0,201
76,184
0,233
0,211
175,215
0,193
134,170
0,255
68,183
137,177
0,255
0,159
0,255
78,255
0,247
0,229
54,214
0,255
81,255
63,255
66,255
0,255
0,210
0,255
0,197
159,255
0,255
48,210
104,152
92,143
142,255
94,255
0,219
0,255
0,255
116,173
89,185
203,255
0,255
17,191
127,255
45,255
0,255
0,255
0,0
0,255
53,198
129,208
94,221
0,255
0,209
113,255
56,193
0,255
0,151
114,230
73,255
186,255
0,234
0,182
17,172
0,255
0,125
194,255
0,255
177,255
195,255
146,255
0,255
0,255
0,189
150,255
0,209
0,255
0,255
0,255
152,255
0,255
84,255
0,255
23,255
100,181
18,255
92,255
0,255
97,255
89,255
0,255
133,232
0,76
0,255
0,244
0,206
158,185
0,255
7,232
0,255
59,169
0,179
82,255
34,201
193,255
0,255
0,255
11,255
81,255
0,255
0,216
0,195
146,160
95,255
156,255
0,255
0,255
62,161
0,241
142,227
141,150
0,255
15,255
126,255
117,171
59,255
0,59
152,227
0,251
0,255
114,255
172,255
171,73
129,155
95,255
0,255
78,255
159,255
39,236
0,255
0,255
128,0
0,255
66,255
0,121
92,207
211,255
30,183
0,216
85,147
111,255
0,183
36,255
0,255
40,193
0,255
0,231
102,227
165,255
131,165
104,173
0,207
0,208
0,223
131,145
172,255
0,254
0,228
177,255
127,255
0,255
0,170
0,255
62,255
0,255
113,178
20,151
163,255
0,255
0,255
0,255
133,194
0,255
0,255
0,255
0,255
0,255
144,255
0,255
0,255
0,245
137,193
0,174
73,178
0,255
0,255
0,255
147,222
49,255
144,255
56,255
0,255
41,216
145,255
0,199
0,0
0,211
91,179
97,255
0,255
95,177
0,213
0,255
68,255
20,255
130,255
0,177
114,255
47,255
0,213
119,255
0,249
138,255
0,255
0,165
0,255
188,198
139,255
0,204
0,255
61,255
0,255
0,0
0,230
114,255
38,255
0,255
0,208
0,159
0,0
188,255
9,225
0,255
102,246
0,255
116,213
116,218
0,206
22,255
0,178
159,255
0,255
0,255
0,255
52,205
49,246
0,25
102,255
16,231
89,211
194,215
30,255
121,233
116,255
137,255
0,179
59,255
9,255
0,216
13,255
0,255
24,255
105,255
96,0
0,255
0,255
154,255
0,247
2,255
0,255
129,255
128,255
0,168
30,255
169,220
151,255
0,255
48,255
150,255
52,255
73,234
46,255
0,255
0,191
0,0
53,255
0,255
56,56
0,211
0,227
0,138
56,201
0,191
0,255
169,215
0,255
108,189
78,252
0,208
0,255
0,255
0,129
70,138
73,220
81,255
57,243
0,214
0,105
138,220
0,255
118,255
0,255
151,255
163,255
0,255
118,207
43,255
68,188
0,255
137,255
92,198
0,220
0,255
0,255
0,255
82,255
0,220
0,238
1,255
30,255
179,255
73,255
0,255
134,145
178,185
130,255
0,161
62,255
0,220
0,190
0,255
22,255
0,255
104,186
0,255
96,255
0,255
89,168
188,255
0,236
116,255
64,255
0,255
47,186
56,255
0,255
0,213
0,227
0,255
0,210
0,185
96,255
0,243
0,140
111,255
136,255
0,218
0,169
25,255
98,255
44,252
168,255
0,255
0,255
47,247
0,206
0,220
0,229
0,255
0,255
8,104
169,255
0,181
65,147
0,179
119,255
125,155
0,255
0,255
0,255
55,255
87,255
0,215
163,255
123,208
0,255
0,225
0,255
0,247
0,255
79,255
127,255
65,173
144,255
0,0
134,255
103,121
0,255
0,255
162,255
0,255
0,255
0,255
14,255
0,182
0,189
166,255
0,255
149,187
0,176
0,255
0,255
0,255
114,255
0,220
163,204
0,255
140,255
202,211
146,177
103,255
65,226
0,255
170,104
0,255
120,219
0,255
100,255
0,0
0,232
150,181
2,255
59,195
142,168
0,255
0,238
8,255
64,232
50,255
0,255
0,233
49,255
113,255
105,0
128,255
0,184
0,255
38,255
126,255
0,189
0,129
0,205
100,190
0,147
146,255
0,224
0,224
50,255
93,218
0,135
80,255
129,255
139,204
0,255
15,224
97,255
140,0
131,255
0,255
191,255
0,216
0,192
0,130
0,255
0,255
0,255
0,255
38,255
0,163
81,255
14,255
127,244
0,232
0,191
0,191
128,255
169,161
0,228
0,219
0,255
0,225
32,255
0,255
65,144
0,255
0,131
0,214
0,0
0,255
194,255
0,211
0,255
0,214
65,255
198,255
62,255
156,255
121,255
43,255
98,255
153,255
79,255
0,255
5,224
0,255
0,234
49,223
0,189
0,255
0,118
0,255
49,168
0,255
4,255
117,210
0,0
169,255
0,255
97,206
149,195
0,244
0,255
0,255
0,255
0,255
0,255
112,251
61,255
9,255
183,255
91,229
0,255
0,143
0,177
0,255
0,163
169,255
30,255
0,209
0,255
40,255
0,255
0,255
156,255
0,215
0,191
0,255
0,255
0,255
0,208
165,255
0,155
0,255
0,255
91,255
108,203
0,255
48,192
57,230
179,255
125,0
0,255
0,0
190,167
60,207
13,194
